Country,EducationLevel,YearsOfExperience,Salary
France,Master's degree,15.0,75184.0
Ukraine,Less than Bachelor's degree,6.0,66000.0
Canada,Bachelor's degree,10.0,134482.0
Other,Bachelor's degree,8.0,115999.0
Sweden,Bachelor's degree,12.0,91569.0
Ukraine,Bachelor's degree,4.0,37000.0
Canada,Bachelor's degree,11.0,50885.0
Other,Master's degree,12.0,114351.0
Hungary,Less than Bachelor's degree,8.0,85925.0
Ireland,Bachelor's degree,15.0,166480.0
Canada,Upper than Master's degree,15.0,101770.0
Brazil,Bachelor's degree,3.0,20514.0
Australia,Bachelor's degree,4.0,93153.0
United States of America,Master's degree,8.0,114000.0
India,Bachelor's degree,3.0,20816.0
Italy,Less than Bachelor's degree,1.0,25777.0
United States of America,Bachelor's degree,3.0,86500.0
Italy,Master's degree,3.0,45111.0
United States of America,Master's degree,5.0,23000.0
Denmark,Bachelor's degree,6.0,129602.0
United States of America,Bachelor's degree,12.0,120120.0
Germany,Bachelor's degree,14.0,109554.0
France,Master's degree,4.0,61222.0
Netherlands,Less than Bachelor's degree,17.0,60147.0
Sweden,Master's degree,20.0,95384.0
Other,Bachelor's degree,2.0,25996.0
United States of America,Master's degree,6.0,136000.0
Other,Bachelor's degree,8.0,28800.0
Other,Bachelor's degree,3.0,43736.0
Ukraine,Master's degree,6.0,49368.0
Austria,Master's degree,6.0,60147.0
United States of America,Upper than Master's degree,5.0,160000.0
Germany,Bachelor's degree,20.0,69814.0
Portugal,Less than Bachelor's degree,5.0,35444.0
United States of America,Bachelor's degree,9.0,159000.0
Sweden,Master's degree,6.0,51865.0
United States of America,Master's degree,6.0,75000.0
Canada,Bachelor's degree,6.0,36346.0
United States of America,Master's degree,3.0,105000.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,21.0,127388.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,4.0,44586.0
Canada,Bachelor's degree,5.0,109039.0
France,Upper than Master's degree,11.0,96666.0
United States of America,Bachelor's degree,9.0,132000.0
Sweden,Less than Bachelor's degree,18.0,72301.0
Germany,Master's degree,5.0,74110.0
Canada,Bachelor's degree,4.0,87231.0
Australia,Bachelor's degree,3.0,74655.0
Italy,Master's degree,15.0,37592.0
United States of America,Master's degree,11.0,120000.0
Netherlands,Master's degree,10.0,112777.0
Netherlands,Less than Bachelor's degree,9.0,88073.0
Ukraine,Master's degree,10.0,51984.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,10.0,124840.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,29.0,127388.0
United States of America,Upper than Master's degree,24.0,117000.0
United States of America,Less than Bachelor's degree,6.0,125000.0
Germany,Master's degree,25.0,85925.0
United States of America,Master's degree,5.0,127000.0
United States of America,Less than Bachelor's degree,8.0,148000.0
United States of America,Bachelor's degree,2.0,117879.0
United States of America,Bachelor's degree,7.0,181000.0
Ireland,Master's degree,30.0,66592.0
Russian Federation,Master's degree,4.0,33680.0
Canada,Bachelor's degree,7.0,149020.0
Germany,Bachelor's degree,5.0,42962.0
Sweden,Master's degree,14.0,162153.0
Sweden,Master's degree,5.0,59138.0
United States of America,Bachelor's degree,17.0,110000.0
Ukraine,Master's degree,0.0,24000.0
United States of America,Bachelor's degree,1.0,125000.0
Sweden,Bachelor's degree,6.0,19077.0
Sweden,Less than Bachelor's degree,5.0,36628.0
Israel,Less than Bachelor's degree,12.0,116572.0
Germany,Bachelor's degree,7.0,24703.0
Ireland,Bachelor's degree,27.0,182591.0
Denmark,Master's degree,6.0,85537.0
Belgium,Master's degree,9.0,100962.0
Canada,Upper than Master's degree,12.0,180000.0
Other,Bachelor's degree,6.0,45492.0
Spain,Less than Bachelor's degree,19.0,107406.0
Austria,Bachelor's degree,12.0,53703.0
Ukraine,Master's degree,23.0,45000.0
Brazil,Bachelor's degree,12.0,20514.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,3.0,71337.0
United States of America,Bachelor's degree,21.0,165000.0
Turkey,Bachelor's degree,11.0,29677.0
Denmark,Master's degree,4.0,115778.0
Pakistan,Bachelor's degree,7.0,13170.0
Netherlands,Bachelor's degree,7.0,56195.0
United States of America,Bachelor's degree,6.0,140000.0
Ukraine,Less than Bachelor's degree,4.0,30000.0
Canada,Bachelor's degree,5.0,90866.0
Spain,Master's degree,9.0,107406.0
United States of America,Bachelor's degree,7.0,155000.0
Colombia,Bachelor's degree,6.0,51840.0
Belgium,Master's degree,10.0,128887.0
France,Upper than Master's degree,14.0,69814.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,10.0,125095.0
Australia,Bachelor's degree,6.0,52853.0
South Africa,Bachelor's degree,2.0,23633.0
United States of America,Master's degree,4.0,30000.0
United States of America,Bachelor's degree,8.0,164000.0
Brazil,Master's degree,14.0,30770.0
Czech Republic,Bachelor's degree,11.0,65152.0
Denmark,Less than Bachelor's degree,3.0,86401.0
United States of America,Bachelor's degree,8.0,141000.0
Finland,Master's degree,2.0,51555.0
France,Master's degree,1.0,38666.0
United States of America,Bachelor's degree,12.0,125000.0
Germany,Upper than Master's degree,6.0,80555.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,3.0,114649.0
Brazil,Less than Bachelor's degree,12.0,36365.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,2.0,21656.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,7.0,165604.0
Ireland,Bachelor's degree,23.0,92369.0
Greece,Master's degree,11.0,137480.0
Mexico,Bachelor's degree,9.0,19946.0
Australia,Bachelor's degree,5.0,85886.0
Germany,Master's degree,3.0,59073.0
Germany,Bachelor's degree,8.0,85925.0
Germany,Master's degree,29.0,77332.0
France,Bachelor's degree,6.0,53703.0
United States of America,Upper than Master's degree,11.0,150000.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,13.0,165604.0
Ukraine,Bachelor's degree,11.0,78407.0
Germany,Master's degree,25.0,80555.0
United States of America,Less than Bachelor's degree,18.0,187000.0
United States of America,Bachelor's degree,22.0,166000.0
Netherlands,Bachelor's degree,11.0,75184.0
Italy,Bachelor's degree,6.0,40814.0
Finland,Upper than Master's degree,5.0,69814.0
United States of America,Bachelor's degree,6.0,115000.0
France,Master's degree,15.0,107406.0
New Zealand,Bachelor's degree,16.0,92185.0
France,Master's degree,8.0,89147.0
Australia,Bachelor's degree,15.0,93616.0
Argentina,Less than Bachelor's degree,17.0,106416.0
France,Upper than Master's degree,3.0,25777.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,5.0,127388.0
Other,Master's degree,4.0,21481.0
Canada,Less than Bachelor's degree,7.0,90139.0
Spain,Master's degree,3.0,19333.0
Other,Less than Bachelor's degree,2.0,47660.0
Spain,Upper than Master's degree,8.0,25777.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,3.0,63057.0
Slovakia,Master's degree,8.0,54777.0
United States of America,Less than Bachelor's degree,3.0,52204.0
United States of America,Master's degree,15.0,135000.0
Sweden,Less than Bachelor's degree,10.0,58661.0
United Kingdom of Great Britain and Northern Ireland,Upper than Master's degree,9.0,112866.0
New Zealand,Bachelor's degree,8.0,86039.0
Greece,Bachelor's degree,6.0,53703.0
United States of America,Master's degree,12.0,100000.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,1.0,45860.0
Poland,Bachelor's degree,4.0,59391.0
Germany,Less than Bachelor's degree,0.0,14178.0
Spain,Upper than Master's degree,0.0,30074.0
Brazil,Bachelor's degree,10.0,55946.0
Germany,Master's degree,10.0,70888.0
United States of America,Less than Bachelor's degree,4.0,55000.0
Switzerland,Master's degree,5.0,111417.0
Australia,Bachelor's degree,2.0,69369.0
France,Master's degree,11.0,85925.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,11.0,99999.0
Brazil,Master's degree,6.0,24616.0
Mexico,Bachelor's degree,17.0,10303.0
Brazil,Bachelor's degree,12.0,95000.0
Other,Bachelor's degree,6.0,96000.0
Israel,Less than Bachelor's degree,30.0,188890.0
Netherlands,Bachelor's degree,18.0,161109.0
Canada,Bachelor's degree,9.0,66151.0
Germany,Master's degree,9.0,139628.0
Belgium,Master's degree,5.0,82703.0
Germany,Less than Bachelor's degree,3.0,23200.0
France,Less than Bachelor's degree,14.0,24703.0
Italy,Bachelor's degree,9.0,53703.0
Portugal,Master's degree,3.0,45111.0
Netherlands,Bachelor's degree,22.0,107406.0
United States of America,Master's degree,2.0,63000.0
Ukraine,Bachelor's degree,25.0,38666.0
Australia,Master's degree,4.0,56156.0
Other,Less than Bachelor's degree,8.0,96096.0
Canada,Master's degree,7.0,72693.0
Italy,Master's degree,12.0,41351.0
Germany,Bachelor's degree,16.0,74110.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,5.0,191082.0
Czech Republic,Less than Bachelor's degree,7.0,28233.0
Netherlands,Bachelor's degree,1.0,21911.0
Mexico,Bachelor's degree,20.0,80863.0
France,Less than Bachelor's degree,23.0,85925.0
Poland,Less than Bachelor's degree,3.0,71765.0
Australia,Master's degree,24.0,71351.0
Germany,Master's degree,10.0,112777.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,3.0,71337.0
Brazil,Bachelor's degree,3.0,15851.0
United States of America,Bachelor's degree,9.0,146000.0
Romania,Master's degree,22.0,161830.0
Norway,Master's degree,7.0,112309.0
Denmark,Master's degree,13.0,58753.0
Other,Master's degree,7.0,116381.0
Ukraine,Master's degree,10.0,50000.0
Brazil,Bachelor's degree,6.0,31703.0
Other,Master's degree,10.0,65805.0
Australia,Master's degree,6.0,122883.0
Canada,Bachelor's degree,12.0,162105.0
United States of America,Master's degree,10.0,130000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,3.0,89172.0
Australia,Less than Bachelor's degree,5.0,79279.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,17.0,91719.0
United States of America,Less than Bachelor's degree,3.0,72500.0
United States of America,Less than Bachelor's degree,5.0,108000.0
United States of America,Less than Bachelor's degree,3.0,155000.0
Other,Master's degree,5.0,42962.0
United States of America,Bachelor's degree,6.0,193000.0
United States of America,Master's degree,4.0,164000.0
United States of America,Bachelor's degree,4.0,122000.0
United States of America,Bachelor's degree,6.0,148000.0
Ukraine,Master's degree,4.0,34000.0
United States of America,Less than Bachelor's degree,3.0,63000.0
Sweden,Less than Bachelor's degree,7.0,65815.0
United States of America,Bachelor's degree,14.0,181000.0
Argentina,Less than Bachelor's degree,10.0,55425.0
Italy,Less than Bachelor's degree,5.0,23629.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,6.0,127388.0
United States of America,Upper than Master's degree,4.0,130000.0
United States of America,Bachelor's degree,12.0,175000.0
Japan,Master's degree,7.0,117741.0
United States of America,Bachelor's degree,8.0,106000.0
Sweden,Less than Bachelor's degree,5.0,63335.0
New Zealand,Bachelor's degree,3.0,51624.0
Ukraine,Bachelor's degree,8.0,41469.0
United States of America,Upper than Master's degree,15.0,96000.0
Brazil,Bachelor's degree,5.0,25777.0
Australia,Bachelor's degree,25.0,56156.0
Germany,Master's degree,2.0,96666.0
Spain,Upper than Master's degree,9.0,26852.0
Mexico,Bachelor's degree,8.0,47548.0
Japan,Bachelor's degree,10.0,87231.0
United States of America,Master's degree,0.0,94000.0
United States of America,Less than Bachelor's degree,9.0,125000.0
Canada,Bachelor's degree,1.0,63243.0
United States of America,Master's degree,6.0,185000.0
United States of America,Master's degree,5.0,129000.0
United States of America,Upper than Master's degree,15.0,180000.0
Canada,Bachelor's degree,14.0,121397.0
United States of America,Bachelor's degree,13.0,125000.0
Australia,Bachelor's degree,7.0,95796.0
Canada,Master's degree,11.0,63970.0
United States of America,Bachelor's degree,18.0,125000.0
Australia,Bachelor's degree,0.0,48955.0
Australia,Bachelor's degree,20.0,77958.0
United States of America,Master's degree,4.0,154000.0
Portugal,Bachelor's degree,3.0,37592.0
Viet Nam,Bachelor's degree,3.0,11791.0
Canada,Bachelor's degree,10.0,94501.0
United States of America,Upper than Master's degree,5.0,178000.0
Italy,Bachelor's degree,15.0,29000.0
Canada,Less than Bachelor's degree,5.0,94501.0
United States of America,Bachelor's degree,1.0,72000.0
New Zealand,Upper than Master's degree,3.0,73748.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,28.0,45860.0
United States of America,Bachelor's degree,5.0,112000.0
United States of America,Master's degree,9.0,167000.0
Other,Bachelor's degree,3.0,37000.0
Brazil,Less than Bachelor's degree,1.0,22378.0
Brazil,Bachelor's degree,4.0,29838.0
Japan,Master's degree,18.0,76373.0
Czech Republic,Less than Bachelor's degree,10.0,65152.0
United States of America,Bachelor's degree,10.0,152000.0
New Zealand,Less than Bachelor's degree,23.0,82966.0
Canada,Less than Bachelor's degree,8.0,68331.0
Argentina,Less than Bachelor's degree,5.0,68727.0
Japan,Master's degree,0.0,28640.0
Indonesia,Less than Bachelor's degree,5.0,31279.0
Canada,Bachelor's degree,5.0,79962.0
United States of America,Less than Bachelor's degree,8.0,50000.0
United States of America,Master's degree,12.0,170000.0
China,Bachelor's degree,13.0,99342.0
Canada,Master's degree,10.0,87231.0
Taiwan,Bachelor's degree,5.0,30884.0
Colombia,Bachelor's degree,5.0,27252.0
United States of America,Bachelor's degree,6.0,136000.0
United States of America,Less than Bachelor's degree,9.0,154000.0
Other,Bachelor's degree,4.0,110873.0
Canada,Bachelor's degree,8.0,76328.0
Switzerland,Less than Bachelor's degree,1.0,78995.0
Other,Bachelor's degree,5.0,73915.0
United States of America,Less than Bachelor's degree,12.0,158000.0
India,Master's degree,12.0,83744.0
United States of America,Bachelor's degree,9.0,160000.0
Australia,Less than Bachelor's degree,19.0,96456.0
United States of America,Less than Bachelor's degree,3.0,120000.0
Mexico,Bachelor's degree,4.0,16119.0
Italy,Less than Bachelor's degree,4.0,53703.0
United States of America,Less than Bachelor's degree,10.0,135000.0
Taiwan,Master's degree,10.0,77211.0
United States of America,Less than Bachelor's degree,5.0,45000.0
Canada,Bachelor's degree,7.0,58154.0
Mexico,Bachelor's degree,3.0,28161.0
Canada,Less than Bachelor's degree,1.0,76328.0
Canada,Bachelor's degree,8.0,94501.0
India,Master's degree,9.0,43068.0
United States of America,Bachelor's degree,14.0,140000.0
United States of America,Less than Bachelor's degree,5.0,72000.0
India,Bachelor's degree,0.0,107671.0
United States of America,Bachelor's degree,7.0,124000.0
Brazil,Master's degree,27.0,24243.0
New Zealand,Bachelor's degree,30.0,73748.0
Canada,Bachelor's degree,0.0,65424.0
United States of America,Less than Bachelor's degree,2.0,127000.0
United States of America,Master's degree,29.0,95000.0
Australia,Bachelor's degree,22.0,105706.0
United States of America,Master's degree,4.0,180000.0
Canada,Master's degree,12.0,92683.0
Other,Bachelor's degree,1.0,77611.0
Norway,Bachelor's degree,7.0,60834.0
United States of America,Upper than Master's degree,9.0,80000.0
United States of America,Bachelor's degree,26.0,190000.0
Other,Bachelor's degree,17.0,80000.0
Australia,Less than Bachelor's degree,8.0,132132.0
United States of America,Less than Bachelor's degree,3.0,153000.0
United States of America,Less than Bachelor's degree,25.0,190000.0
Australia,Less than Bachelor's degree,1.0,19820.0
United States of America,Master's degree,2.0,100000.0
China,Master's degree,2.0,68987.0
New Zealand,Bachelor's degree,2.0,52238.0
Romania,Master's degree,10.0,38192.0
United States of America,Master's degree,6.0,140000.0
Australia,Bachelor's degree,30.0,118919.0
Australia,Bachelor's degree,10.0,132132.0
United States of America,Bachelor's degree,8.0,135000.0
Australia,Less than Bachelor's degree,20.0,132132.0
United States of America,Master's degree,24.0,148600.0
Canada,Bachelor's degree,1.0,38527.0
Canada,Less than Bachelor's degree,0.0,21808.0
Other,Less than Bachelor's degree,5.0,38518.0
Taiwan,Less than Bachelor's degree,6.0,33355.0
Other,Upper than Master's degree,8.0,34958.0
India,Bachelor's degree,2.0,14356.0
United States of America,Master's degree,4.0,142000.0
Sweden,Upper than Master's degree,10.0,57230.0
Taiwan,Master's degree,5.0,61768.0
Canada,Less than Bachelor's degree,13.0,116309.0
Greece,Bachelor's degree,20.0,85925.0
United States of America,Bachelor's degree,2.0,97000.0
Taiwan,Master's degree,15.0,92653.0
Brazil,Bachelor's degree,10.0,111892.0
Canada,Master's degree,10.0,109039.0
Other,Less than Bachelor's degree,8.0,14298.0
Australia,Bachelor's degree,20.0,97117.0
Netherlands,Bachelor's degree,18.0,50911.0
Brazil,Bachelor's degree,6.0,40281.0
United States of America,Master's degree,11.0,155000.0
Sweden,Bachelor's degree,5.0,66769.0
India,Bachelor's degree,10.0,41872.0
Other,Bachelor's degree,3.0,15256.0
Other,Less than Bachelor's degree,3.0,14600.0
United States of America,Master's degree,16.0,180000.0
United States of America,Less than Bachelor's degree,1.0,84000.0
United States of America,Master's degree,5.0,160000.0
Japan,Master's degree,3.0,31822.0
United States of America,Bachelor's degree,8.0,99000.0
Poland,Bachelor's degree,5.0,61866.0
Other,Bachelor's degree,8.0,14168.0
Australia,Bachelor's degree,11.0,112312.0
France,Master's degree,10.0,66592.0
Pakistan,Master's degree,7.0,120000.0
Australia,Bachelor's degree,15.0,85886.0
United States of America,Master's degree,13.0,127000.0
Israel,Bachelor's degree,20.0,58286.0
Canada,Bachelor's degree,3.0,123578.0
Australia,Less than Bachelor's degree,11.0,56156.0
Other,Bachelor's degree,5.0,10922.0
Denmark,Master's degree,4.0,96078.0
Australia,Less than Bachelor's degree,5.0,89189.0
United States of America,Bachelor's degree,1.0,95000.0
Denmark,Bachelor's degree,9.0,86401.0
Austria,Master's degree,13.0,80555.0
Japan,Bachelor's degree,10.0,70008.0
Slovakia,Less than Bachelor's degree,2.0,10311.0
Australia,Less than Bachelor's degree,17.0,145345.0
India,Master's degree,28.0,11963.0
Australia,Bachelor's degree,2.0,33033.0
Ukraine,Bachelor's degree,20.0,32000.0
Canada,Bachelor's degree,11.0,151928.0
Sweden,Upper than Master's degree,9.0,54369.0
Other,Bachelor's degree,3.0,88699.0
United States of America,Less than Bachelor's degree,4.0,115000.0
United States of America,Bachelor's degree,5.0,83000.0
United States of America,Upper than Master's degree,8.0,120000.0
Australia,Master's degree,3.0,85886.0
Canada,Less than Bachelor's degree,5.0,45070.0
Czech Republic,Bachelor's degree,6.0,31273.0
United States of America,Less than Bachelor's degree,5.0,173000.0
Other,Bachelor's degree,3.0,74285.0
Netherlands,Master's degree,3.0,59073.0
Netherlands,Master's degree,6.0,67666.0
Slovakia,Master's degree,10.0,103110.0
Other,Bachelor's degree,6.0,81679.0
Germany,Bachelor's degree,10.0,103110.0
Romania,Master's degree,9.0,28914.0
Australia,Bachelor's degree,20.0,94474.0
India,Bachelor's degree,9.0,29909.0
Norway,Bachelor's degree,10.0,79552.0
Germany,Bachelor's degree,15.0,85925.0
Australia,Bachelor's degree,8.0,54504.0
Ukraine,Master's degree,6.0,40000.0
Germany,Less than Bachelor's degree,6.0,96666.0
South Africa,Upper than Master's degree,24.0,107617.0
United States of America,Bachelor's degree,8.0,175000.0
Colombia,Bachelor's degree,5.0,18168.0
Other,Bachelor's degree,14.0,29427.0
Israel,Bachelor's degree,3.0,113334.0
United States of America,Master's degree,3.0,103000.0
Germany,Less than Bachelor's degree,3.0,21481.0
Canada,Bachelor's degree,20.0,72693.0
Germany,Master's degree,17.0,92799.0
Austria,Less than Bachelor's degree,20.0,107406.0
France,Master's degree,12.0,64444.0
India,Bachelor's degree,12.0,69388.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,28.0,82802.0
Germany,Bachelor's degree,5.0,71962.0
Hungary,Master's degree,10.0,70656.0
Canada,Bachelor's degree,9.0,116309.0
Other,Master's degree,3.0,64444.0
Germany,Master's degree,7.0,67666.0
Czech Republic,Less than Bachelor's degree,0.0,30404.0
Netherlands,Master's degree,3.0,41888.0
South Africa,Bachelor's degree,25.0,59189.0
Czech Republic,Bachelor's degree,16.0,65152.0
Sweden,Master's degree,9.0,57230.0
Austria,Bachelor's degree,3.0,59073.0
United States of America,Less than Bachelor's degree,16.0,175000.0
Japan,Bachelor's degree,12.0,95466.0
France,Upper than Master's degree,3.0,27926.0
United States of America,Bachelor's degree,10.0,100000.0
Israel,Master's degree,2.0,38857.0
India,Master's degree,18.0,27516.0
Switzerland,Bachelor's degree,16.0,132586.0
Australia,Bachelor's degree,20.0,112312.0
Germany,Bachelor's degree,2.0,51555.0
Germany,Bachelor's degree,4.0,12889.0
Germany,Master's degree,4.0,128887.0
Czech Republic,Less than Bachelor's degree,7.0,54467.0
Other,Master's degree,6.0,37592.0
Other,Bachelor's degree,6.0,63383.0
France,Master's degree,10.0,61866.0
Italy,Master's degree,7.0,42962.0
New Zealand,Bachelor's degree,5.0,61457.0
India,Master's degree,2.0,23927.0
Poland,Less than Bachelor's degree,5.0,14848.0
India,Bachelor's degree,3.0,26320.0
Czech Republic,Bachelor's degree,3.0,47778.0
Italy,Upper than Master's degree,10.0,42962.0
New Zealand,Bachelor's degree,10.0,175151.0
Germany,Upper than Master's degree,13.0,107406.0
Other,Bachelor's degree,5.0,53419.0
Australia,Bachelor's degree,9.0,97117.0
Sweden,Less than Bachelor's degree,6.0,71538.0
Germany,Master's degree,15.0,75184.0
Sweden,Bachelor's degree,18.0,84796.0
Germany,Master's degree,26.0,81629.0
Germany,Bachelor's degree,7.0,76258.0
Austria,Less than Bachelor's degree,25.0,75184.0
Other,Bachelor's degree,6.0,38398.0
Germany,Upper than Master's degree,15.0,96666.0
Poland,Master's degree,6.0,89087.0
Netherlands,Master's degree,4.0,60663.0
Other,Less than Bachelor's degree,2.0,34896.0
Germany,Master's degree,7.0,71962.0
Hungary,Bachelor's degree,3.0,52503.0
India,Master's degree,15.0,26320.0
India,Bachelor's degree,2.0,21821.0
Spain,Master's degree,11.0,90221.0
Ukraine,Bachelor's degree,11.0,54305.0
Germany,Master's degree,0.0,53435.0
Belgium,Master's degree,5.0,42962.0
Belgium,Less than Bachelor's degree,22.0,67666.0
Netherlands,Master's degree,2.0,50803.0
Ukraine,Master's degree,9.0,59241.0
United States of America,Less than Bachelor's degree,4.0,180000.0
Czech Republic,Less than Bachelor's degree,0.0,21717.0
Germany,Master's degree,6.0,98814.0
Germany,Less than Bachelor's degree,0.0,10741.0
Belgium,Bachelor's degree,14.0,107406.0
Hungary,Less than Bachelor's degree,25.0,77332.0
Turkey,Bachelor's degree,23.0,161109.0
Germany,Upper than Master's degree,11.0,144998.0
United States of America,Master's degree,23.0,108000.0
Hungary,Master's degree,10.0,46198.0
Other,Bachelor's degree,4.0,10000.0
Other,Bachelor's degree,4.0,48638.0
Other,Less than Bachelor's degree,15.0,37592.0
Germany,Less than Bachelor's degree,15.0,70888.0
Switzerland,Upper than Master's degree,7.0,118102.0
Other,Master's degree,8.0,69814.0
Norway,Less than Bachelor's degree,8.0,74873.0
Denmark,Bachelor's degree,24.0,115202.0
Other,Master's degree,6.0,85925.0
Ireland,Bachelor's degree,23.0,57999.0
Other,Master's degree,10.0,80000.0
Switzerland,Less than Bachelor's degree,10.0,72421.0
Ukraine,Master's degree,12.0,60722.0
Poland,Less than Bachelor's degree,7.0,73002.0
Greece,Less than Bachelor's degree,2.0,12567.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,17.0,127388.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,17.0,127897.0
Other,Less than Bachelor's degree,10.0,25777.0
Finland,Master's degree,11.0,53703.0
Taiwan,Bachelor's degree,3.0,30884.0
India,Less than Bachelor's degree,5.0,62210.0
Bulgaria,Bachelor's degree,10.0,87876.0
Czech Republic,Master's degree,13.0,84698.0
United Kingdom of Great Britain and Northern Ireland,Upper than Master's degree,18.0,82802.0
Germany,Upper than Master's degree,5.0,91295.0
Denmark,Master's degree,17.0,86401.0
Australia,Bachelor's degree,28.0,81407.0
South Africa,Bachelor's degree,18.0,45199.0
Netherlands,Bachelor's degree,20.0,118147.0
Netherlands,Bachelor's degree,11.0,128887.0
Germany,Less than Bachelor's degree,6.0,53703.0
Germany,Less than Bachelor's degree,24.0,107406.0
Ukraine,Less than Bachelor's degree,17.0,24000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,7.0,152865.0
Spain,Bachelor's degree,15.0,55851.0
Italy,Master's degree,15.0,59073.0
France,Master's degree,10.0,81629.0
Austria,Master's degree,6.0,80555.0
South Africa,Master's degree,8.0,38742.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,6.0,73968.0
Other,Master's degree,10.0,29132.0
United States of America,Less than Bachelor's degree,6.0,70000.0
Germany,Master's degree,17.0,112777.0
Ukraine,Bachelor's degree,3.0,23629.0
Denmark,Less than Bachelor's degree,7.0,62209.0
Germany,Bachelor's degree,3.0,15466.0
Netherlands,Bachelor's degree,4.0,42962.0
France,Less than Bachelor's degree,14.0,32222.0
Norway,Bachelor's degree,4.0,84232.0
South Africa,Bachelor's degree,15.0,41971.0
Ukraine,Less than Bachelor's degree,9.0,42962.0
France,Master's degree,6.0,71962.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,2.0,45860.0
Norway,Bachelor's degree,10.0,57999.0
Romania,Less than Bachelor's degree,3.0,22009.0
Other,Upper than Master's degree,6.0,28588.0
Portugal,Bachelor's degree,1.0,15037.0
Italy,Master's degree,6.0,75184.0
United States of America,Upper than Master's degree,25.0,75000.0
Italy,Master's degree,25.0,37592.0
United States of America,Less than Bachelor's degree,15.0,182000.0
Norway,Master's degree,4.0,65514.0
Serbia,Upper than Master's degree,22.0,150000.0
Germany,Bachelor's degree,5.0,60899.0
Germany,Bachelor's degree,2.0,83777.0
Taiwan,Bachelor's degree,6.0,21619.0
Germany,Bachelor's degree,7.0,38666.0
Australia,Bachelor's degree,5.0,91832.0
Denmark,Less than Bachelor's degree,2.0,27648.0
Ireland,Master's degree,6.0,171850.0
Germany,Master's degree,10.0,96666.0
France,Less than Bachelor's degree,13.0,32222.0
Other,Less than Bachelor's degree,6.0,167554.0
Spain,Less than Bachelor's degree,6.0,36518.0
Spain,Bachelor's degree,12.0,69814.0
Ukraine,Bachelor's degree,9.0,56773.0
Bulgaria,Master's degree,7.0,36798.0
Netherlands,Less than Bachelor's degree,6.0,17262.0
Switzerland,Less than Bachelor's degree,3.0,72421.0
Ukraine,Less than Bachelor's degree,14.0,28436.0
Canada,Bachelor's degree,5.0,168000.0
Nigeria,Bachelor's degree,4.0,24000.0
Ukraine,Master's degree,3.0,43200.0
Austria,Less than Bachelor's degree,1.0,42962.0
Other,Master's degree,5.0,39893.0
France,Master's degree,11.0,65518.0
Switzerland,Bachelor's degree,5.0,115316.0
United States of America,Bachelor's degree,5.0,114400.0
Netherlands,Less than Bachelor's degree,7.0,61222.0
Belgium,Less than Bachelor's degree,3.0,33511.0
Czech Republic,Less than Bachelor's degree,5.0,69496.0
Germany,Bachelor's degree,4.0,69599.0
United States of America,Bachelor's degree,9.0,90000.0
Sweden,Less than Bachelor's degree,14.0,51507.0
Norway,Bachelor's degree,5.0,79552.0
Germany,Master's degree,22.0,161109.0
Ukraine,Master's degree,5.0,55000.0
Switzerland,Bachelor's degree,15.0,133700.0
Pakistan,Bachelor's degree,12.0,57000.0
Germany,Master's degree,26.0,161109.0
Austria,Master's degree,11.0,35551.0
Spain,Bachelor's degree,1.0,22555.0
Russian Federation,Bachelor's degree,3.0,44818.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,7.0,85350.0
United Kingdom of Great Britain and Northern Ireland,Upper than Master's degree,4.0,101910.0
Australia,Master's degree,3.0,126847.0
Italy,Less than Bachelor's degree,7.0,34370.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,27.0,80254.0
Italy,Less than Bachelor's degree,20.0,75184.0
Poland,Less than Bachelor's degree,5.0,41574.0
Germany,Bachelor's degree,8.0,112777.0
Netherlands,Less than Bachelor's degree,23.0,118147.0
Bulgaria,Less than Bachelor's degree,20.0,60000.0
